x,y,yaw,v
0.019753,-0.1,0,0.5
0.071924,-0.1,0,0.5
0.130268,-0.1,0,0.5
0.194374,-0.1,0,0.5
0.256547,-0.1,0,0.5
0.359498,-0.1,0,0.5
0.448826,-0.1,0,0.5
0.55352,-0.1,0,0.5
0.653412,-0.1,0,0.5
0.738376,-0.1,0,0.5
0.803363,-0.1,0,0.5
0.878355,-0.1,0,0.5
0.958351,-0.1,0,0.5
1.043349,-0.1,0,0.5
1.133348,-0.1,0,0.5
1.203348,-0.1,0,0.5
1.278348,-0.1,0,0.5
1.353348,-0.1,0,0.5
1.423348,-0.1,0,0.5
1.498348,-0.1,0,0.5
1.568348,-0.1,0,0.5
1.648348,-0.1,0,0.5
1.723348,-0.1,0,0.5
1.793348,-0.1,0,0.5
1.873348,-0.1,0,0.5
1.938348,-0.1,0,0.5
2.028348,-0.1,0,0.5
2.098348,-0.1,0,0.5
2.173348,-0.1,0,0.5
2.248348,-0.1,0,0.5
2.333348,-0.1,0,0.5
2.403348,-0.1,0,0.5
2.473348,-0.1,0,0.5
2.558348,-0.1,0,0.5
2.648348,-0.1,0,0.5
2.733348,-0.1,0,0.5
2.828348,-0.1,0,0.5
2.903348,-0.1,0,0.5
2.978348,-0.1,0,0.5
3.048348,-0.1,0,0.5
3.118348,-0.1,0,0.5
3.198348,-0.1,0,0.5
3.268348,-0.1,0,0.5
3.338348,-0.1,0,0.5
3.403348,-0.1,0,0.5
3.468347,-0.1,-0.015678,0.5
3.538264,-0.1,-0.06734,0.5
3.613089,-0.1,-0.06831,0.5
3.692903,-0.1,-0.06831,0.5
3.757751,-0.1,-0.06831,0.5
3.827588,-0.1,-0.06831,0.5
3.917378,-0.1,-0.06831,0.5
3.997191,-0.1,-0.06831,0.5
4.072016,-0.1,-0.06831,0.5
4.161806,-0.1,-0.06831,0.5
4.246608,-0.1,-0.06831,0.5
4.336398,-0.1,-0.06831,0.5
4.406235,-0.1,-0.06831,0.5
4.491037,-0.1,-0.06831,0.5
4.555885,-0.1,-0.06831,0.5
4.650664,-0.1,-0.06831,0.5
4.725489,-0.1,-0.06831,0.5
4.790337,-0.1,-0.06831,0.5
4.860174,-0.1,-0.06831,0.5
4.925022,-0.1,-0.06831,0.5
5.004836,-0.103751,-0.06831,0.5
5.084649,-0.109212,-0.06831,0.5
5.164463,-0.114672,-0.06831,0.5
5.239288,-0.119791,-0.06831,0.5
5.319101,-0.125252,-0.06831,0.5
5.403903,-0.131054,-0.06831,0.5
5.483716,-0.136514,-0.06831,0.5
5.558541,-0.141633,-0.06831,0.5
5.628378,-0.146411,-0.06831,0.5
5.698215,-0.151189,-0.06831,0.5
5.763063,-0.155626,-0.06831,0.5
5.837888,-0.160745,-0.06831,0.5
5.907725,-0.165523,-0.06831,0.5
5.98255,-0.170642,-0.06831,0.5
6.057375,-0.175762,-0.06831,0.5
6.147165,-0.181905,-0.06831,0.5
6.217002,-0.186683,-0.06831,0.5
6.321757,-0.19385,-0.06831,0.5
6.416536,-0.200334,-0.06831,0.5
6.491361,-0.205453,-0.06831,0.5
6.556209,-0.20989,-0.06831,0.5
6.621058,-0.214327,-0.06831,0.5
6.695883,-0.219446,-0.06831,0.5
6.765719,-0.224224,-0.06831,0.5
6.835556,-0.229002,-0.06831,0.5
6.900405,-0.233438,-0.06831,0.5
6.980218,-0.238899,-0.06831,0.5
7.06502,-0.244701,-0.06831,0.5
7.15481,-0.250844,-0.06831,0.5
7.219658,-0.255281,-0.06831,0.5
7.279518,-0.259376,-0.06831,0.5
7.349355,-0.264154,-0.06831,0.5
7.419192,-0.268932,-0.06831,0.5
7.489029,-0.27371,-0.06831,0.5
7.553877,-0.278146,-0.06831,0.5
7.613737,-0.282242,-0.06831,0.5
7.678586,-0.286679,-0.06831,0.5
7.743434,-0.291115,-0.06831,0.5
7.828236,-0.296917,-0.06831,0.5
7.908049,-0.302378,-0.06831,0.5
7.987863,-0.307838,-0.06831,0.5
8.057699,-0.312616,-0.06831,0.5
8.132524,-0.317735,-0.06831,0.5
8.212338,-0.323196,-0.06831,0.5
8.292151,-0.328656,-0.06831,0.5
8.361988,-0.333431,-0.06734,0.5
8.441905,-0.336743,-0.005649,0.5
8.506874,-0.335103,0.056114,0.5
8.566651,-0.330033,0.113125,0.5
8.626042,-0.321565,0.170137,0.5
8.713984,-0.302554,0.255654,0.5
8.776324,-0.284186,0.317417,0.5
8.842051,-0.260144,0.38393,0.5
