x,y,yaw,v
0.130268,-0.1,0,2
0.324965,-0.1,0,2
0.583476,-0.1,0,2
0.803363,-0.1,0,2
1.013349,-0.1,0,2
1.228348,-0.1,0,2
1.423348,-0.1,0,2
1.623348,-0.1,0,2
1.818348,-0.1,0,2
2.028348,-0.1,0,2
2.228348,-0.1,0,2
2.423348,-0.1,0,2
2.648348,-0.1,0,2
2.878348,-0.1,0,2
3.073348,-0.1,0,2
3.268348,-0.1,0,2
3.448347,-0.1,-0.003887,2
3.633043,-0.1,-0.06831,2
3.827588,-0.1,-0.06831,2
4.047075,-0.1,-0.06831,2
4.27155,-0.1,-0.06831,2
4.491037,-0.1,-0.06831,2
4.705535,-0.1,-0.06831,2
4.880127,-0.1,-0.06831,2
5.084649,-0.109212,-0.06831,2
5.294159,-0.123545,-0.06831,2
5.518635,-0.138903,-0.06831,2
5.698215,-0.151189,-0.06831,2
5.887772,-0.164158,-0.06831,2
6.097282,-0.178492,-0.06831,2
6.321757,-0.19385,-0.06831,2
6.536256,-0.208525,-0.06831,2
6.715836,-0.220811,-0.06831,2
6.900405,-0.233438,-0.06831,2
7.12488,-0.248796,-0.06831,2
7.299472,-0.260741,-0.06831,2
7.489029,-0.27371,-0.06831,2
7.658632,-0.285313,-0.06831,2
7.858166,-0.298965,-0.06831,2
8.057699,-0.312616,-0.06831,2
8.262221,-0.326609,-0.06831,2
8.461905,-0.336666,0.013355,2
8.626042,-0.321565,0.170137,2
8.818762,-0.269231,0.360175,2
9.027652,-0.162643,0.583471,2
9.204284,-0.016046,0.802015,2
9.334312,0.148413,1.001556,2
9.436211,0.354098,1.220101,2
9.503801,0.558191,1.254255,2
9.578509,0.786267,1.254255,2
9.645434,0.990585,1.254255,2
9.705093,1.176223,1.297912,2
9.746501,1.376911,1.389078,2
9.778127,1.549029,1.389078,2
9.804786,1.726935,1.494498,2
9.802946,1.916721,1.637925,2
9.789866,2.111282,1.637925,2
9.777457,2.295866,1.637925,2
9.765047,2.480449,1.637925,2
9.752638,2.665032,1.637925,2
9.740228,2.849616,1.637925,2
9.725806,3.064131,1.637925,2
9.713061,3.253703,1.637925,2
9.700317,3.443275,1.637925,2
9.68429,3.687748,1.613272,2
9.687383,3.947695,1.550611,2
9.691319,4.142655,1.550611,2
9.69576,4.36261,1.550611,2
9.700099,4.577567,1.550611,2
9.704237,4.782525,1.550611,2
9.709182,5.027475,1.550611,2
9.71342,5.237432,1.550611,2
9.718466,5.487381,1.550611,2
9.722402,5.682342,1.550611,2
9.726943,5.907296,1.550611,2
9.731888,6.152246,1.550611,2
9.735723,6.342207,1.550611,2
9.739356,6.52217,1.550611,2
9.742888,6.697135,1.550611,2
9.74642,6.872099,1.550611,2
9.750255,7.06206,1.550611,2
9.754595,7.277017,1.550611,2
9.758631,7.476976,1.550611,2
9.761968,7.656943,1.570513,2
9.743077,7.855747,1.760552,2
9.688816,8.042755,1.94584,2
9.606306,8.20807,2.121625,2
9.492826,8.360137,2.302162,2
9.325861,8.510321,2.515956,2
9.139977,8.617614,2.720247,2
8.921522,8.688091,2.938792,2
8.704362,8.723225,2.9872,2
8.496856,8.755493,2.991087,2
8.278251,8.780064,3.036505,2
8.079325,8.800747,3.056407,2
7.824433,8.804449,-3.140363,2
7.574434,8.804142,-3.140363,2
7.309434,8.803816,-3.140363,2
7.079434,8.803533,-3.140363,2
6.849434,8.80325,-3.140363,2
6.644434,8.802998,-3.140363,2
6.424435,8.802727,-3.140363,2
6.229435,8.802487,-3.140363,2
6.019435,8.802229,-3.140363,2
5.774435,8.801928,-3.140363,2
5.544435,8.801645,-3.140363,2
5.294435,8.801337,-3.140363,2
5.044436,8.80103,-3.140363,2
4.824436,8.800759,-3.140363,2
4.634436,8.800525,-3.140363,2
4.429436,8.800273,-3.140363,2
4.194436,8.799984,-3.140363,2
3.984436,8.799726,-3.140363,2
3.784437,8.79948,-3.140363,2
3.554437,8.799197,-3.140363,2
3.334437,8.798926,-3.140363,2
3.114437,8.798656,-3.140363,2
2.864437,8.798348,-3.140363,2
2.589437,8.79801,-3.140363,2
2.369438,8.797739,-3.140363,2
2.139438,8.797456,-3.140363,2
1.929438,8.797198,-3.140363,2
1.704438,8.796921,-3.140363,2
1.494438,8.796663,-3.140363,2
1.284438,8.796405,-3.140363,2
1.039439,8.796103,-3.140363,2
0.834439,8.795851,-3.140363,2
0.604439,8.795568,-3.140363,2
0.369439,8.795279,-3.140363,2
0.099439,8.794947,-3.140363,2
-0.115561,8.794683,-3.140363,2
-0.33556,8.794412,-3.140363,2
-0.56056,8.794135,-3.140363,2
-0.83556,8.793797,-3.140363,2
-1.06556,8.793514,-3.140363,2
-1.30056,8.793225,-3.140363,2
-1.495559,8.792985,-3.140363,2
