x,y,yaw,v
0.001907,-0.125211,0.017139,2.033022
0.001907,-0.125211,0.017139,2.033022
0.022235,-0.124941,0.016337,2.033079
0.022235,-0.124941,0.016337,2.033079
0.042565,-0.124707,0.015339,2.033134
0.042565,-0.124707,0.015339,2.033134
0.062895,-0.124481,0.014498,2.033186
0.062895,-0.124481,0.014498,2.033186
0.083226,-0.12429,0.013475,2.033236
0.083226,-0.12429,0.013475,2.033236
0.103558,-0.124107,0.012619,2.033316
0.103558,-0.124107,0.012619,2.033316
0.103558,-0.124107,0.012619,2.033316
0.123891,-0.123957,0.011588,2.033392
0.123891,-0.123957,0.011588,2.033392
0.144225,-0.123814,0.010726,2.033464
0.144225,-0.123814,0.010726,2.033464
0.16456,-0.123704,0.009691,2.033533
0.16456,-0.123704,0.009691,2.033533
0.184895,-0.123601,0.008827,2.033598
0.184895,-0.123601,0.008827,2.033598
0.184895,-0.123601,0.008827,2.033598
0.205231,-0.12353,0.007791,2.033661
0.205231,-0.12353,0.007791,2.033661
0.225568,-0.123466,0.006925,2.03372
0.225568,-0.123466,0.006925,2.03372
0.225568,-0.123466,0.006925,2.03372
0.245906,-0.123435,0.005888,2.033777
0.245906,-0.123435,0.005888,2.033777
0.266244,-0.12341,0.005022,2.033831
0.266244,-0.12341,0.005022,2.033831
0.266244,-0.12341,0.005022,2.033831
0.286582,-0.123418,0.003985,2.033882
0.286582,-0.123418,0.003985,2.033882
0.306921,-0.123432,0.003119,2.033931
0.306921,-0.123432,0.003119,2.033931
0.327261,-0.123479,0.002081,2.034006
0.327261,-0.123479,0.002081,2.034006
0.347601,-0.123531,0.001215,2.034077
0.347601,-0.123531,0.001215,2.034077
0.367942,-0.123617,0.000177,2.034145
0.367942,-0.123617,0.000177,2.034145
0.388284,-0.123683,-0.000396,2.03421
0.388284,-0.123683,-0.000396,2.03421
0.388284,-0.123683,-0.000396,2.03421
0.408626,-0.123689,-0.000205,2.034271
0.408626,-0.123689,-0.000205,2.034271
0.428969,-0.123669,0.000161,2.03433
0.428969,-0.123669,0.000161,2.03433
0.428969,-0.123669,0.000161,2.03433
0.449313,-0.123604,0.000902,2.034385
0.449313,-0.123604,0.000902,2.034385
0.469657,-0.123524,0.001591,2.034438
0.490001,-0.123405,0.002523,2.03451
0.510346,-0.123275,0.003325,2.034579
0.510346,-0.123275,0.003325,2.034579
0.530692,-0.123109,0.004324,2.034644
0.551038,-0.122935,0.005166,2.034706
0.571384,-0.122726,0.006189,2.034765
0.571384,-0.122726,0.006189,2.034765
0.591731,-0.12251,0.007045,2.034822
0.591731,-0.12251,0.007045,2.034822
0.591731,-0.12251,0.007045,2.034822
0.632425,-0.122003,0.00894,2.034926
0.652772,-0.121713,0.009976,2.034975
0.652772,-0.121713,0.009976,2.034975
0.67312,-0.121416,0.01084,2.035035
0.67312,-0.121416,0.01084,2.035035
0.67312,-0.121416,0.01084,2.035035
0.693468,-0.121086,0.011878,2.035093
0.693468,-0.121086,0.011878,2.035093
0.713817,-0.12075,0.012743,2.035148
0.713817,-0.12075,0.012743,2.035148
0.713817,-0.12075,0.012743,2.035148
0.734165,-0.120381,0.013781,2.0352
0.734165,-0.120381,0.013781,2.0352
0.754514,-0.120006,0.014648,2.035249
0.754514,-0.120006,0.014648,2.035249
0.774862,-0.119598,0.015686,2.035297
0.774862,-0.119598,0.015686,2.035297
0.795211,-0.119184,0.016552,2.035342
0.795211,-0.119184,0.016552,2.035342
0.795211,-0.119184,0.016552,2.035342
0.81556,-0.118737,0.017591,2.035384
0.81556,-0.118737,0.017591,2.035384
0.835909,-0.118284,0.018458,2.035425
0.835909,-0.118284,0.018458,2.035425
0.856259,-0.117798,0.019496,2.035632
0.856259,-0.117798,0.019496,2.035632
0.87661,-0.117306,0.020363,2.035829
0.87661,-0.117306,0.020363,2.035829
0.896962,-0.116781,0.021402,2.036017
0.896962,-0.116781,0.021402,2.036017
0.917317,-0.116275,0.021975,2.036195
0.917317,-0.116275,0.021975,2.036195
0.917317,-0.116275,0.021975,2.036195
0.937675,-0.115831,0.021785,2.036365
0.937675,-0.115831,0.021785,2.036365
0.958035,-0.11541,0.02142,2.036527
0.958035,-0.11541,0.02142,2.036527
0.958035,-0.11541,0.02142,2.036527
0.978398,-0.115036,0.020679,2.036682
0.978398,-0.115036,0.020679,2.036682
0.998762,-0.114676,0.019989,2.036829
0.998762,-0.114676,0.019989,2.036829
0.998762,-0.114676,0.019989,2.036829
1.019129,-0.114356,0.019057,2.036969
1.039497,-0.114046,0.018255,2.037102
1.039497,-0.114046,0.018255,2.037102
1.059867,-0.113772,0.017255,2.037316
1.080239,-0.113507,0.016412,2.03752
1.080239,-0.113507,0.016412,2.03752
1.080239,-0.113507,0.016412,2.03752
1.100614,-0.113277,0.015389,2.037715
1.100614,-0.113277,0.015389,2.037715
1.120991,-0.113054,0.014531,2.0379
1.120991,-0.113054,0.014531,2.0379
1.120991,-0.113054,0.014531,2.0379
1.14137,-0.112864,0.013498,2.038076
1.14137,-0.112864,0.013498,2.038076
1.161751,-0.112682,0.012634,2.038244
1.182134,-0.112532,0.011598,2.038404
1.182134,-0.112532,0.011598,2.038404
1.202518,-0.11239,0.010732,2.038556
1.202518,-0.11239,0.010732,2.038556
1.202518,-0.11239,0.010732,2.038556
1.222904,-0.11228,0.009693,2.038701
1.222904,-0.11228,0.009693,2.038701
1.243291,-0.112177,0.008826,2.038839
1.243291,-0.112177,0.008826,2.038839
1.243291,-0.112177,0.008826,2.038839
1.26368,-0.112107,0.007787,2.038971
1.26368,-0.112107,0.007787,2.038971
1.284071,-0.112042,0.006919,2.03919
1.284071,-0.112042,0.006919,2.03919
1.284071,-0.112042,0.006919,2.03919
1.304464,-0.112011,0.005879,2.039399
1.304464,-0.112011,0.005879,2.039399
1.324859,-0.111986,0.005011,2.039597
1.324859,-0.111986,0.005011,2.039597
1.324859,-0.111986,0.005011,2.039597
1.345256,-0.111994,0.003971,2.039787
1.345256,-0.111994,0.003971,2.039787
1.365655,-0.112008,0.003103,2.039967
1.365655,-0.112008,0.003103,2.039967
1.386055,-0.112055,0.002063,2.040139
1.386055,-0.112055,0.002063,2.040139
1.406457,-0.112108,0.001194,2.040302
1.426861,-0.112194,0.000154,2.040458
1.426861,-0.112194,0.000154,2.040458
1.447266,-0.112286,-0.000715,2.040606
1.447266,-0.112286,-0.000715,2.040606
1.467673,-0.112411,-0.001756,2.04083
1.467673,-0.112411,-0.001756,2.04083
1.488082,-0.112542,-0.002625,2.041043
1.488082,-0.112542,-0.002625,2.041043
1.508492,-0.112706,-0.003665,2.041246
1.528905,-0.11285,-0.004241,2.041439
1.528905,-0.11285,-0.004241,2.041439
1.54932,-0.112934,-0.004053,2.041623
1.569737,-0.112993,-0.003688,2.041798
1.569737,-0.112993,-0.003688,2.041798
1.590156,-0.113007,-0.002946,2.041965
1.590156,-0.113007,-0.002946,2.041965
1.610577,-0.113006,-0.002256,2.042124
1.610577,-0.113006,-0.002256,2.042124
1.630999,-0.112965,-0.001322,2.042276
1.651422,-0.112913,-0.000518,2.04242
1.651422,-0.112913,-0.000518,2.04242
1.671847,-0.112826,0.000483,2.04262
1.692274,-0.11273,0.001328,2.042811
1.712703,-0.112599,0.002354,2.042993
1.712703,-0.112599,0.002354,2.042993
1.733133,-0.11246,0.003214,2.043166
1.733133,-0.11246,0.003214,2.043166
1.753565,-0.112288,0.004249,2.04333
1.753565,-0.112288,0.004249,2.04333
1.773998,-0.112108,0.005115,2.043487
1.794432,-0.111896,0.006154,2.043637
1.794432,-0.111896,0.006154,2.043637
1.814868,-0.111676,0.007023,2.043779
